API Name,Operation Name,API Version,Response Code,Count
telkom-newoss-worklog,/addworklog,1.1,200,6332
telkom-newoss-worklog,/getworklog,1.0,200,39
telkom-useetvgo-feasibility,/feasibilityuseetvapps,1.0,200,1728
telkom-starclick,/apiscone/{path1}/{path2}/{path3},1.0,200,1033
telkom-starclick,/apistarclick/{operation},1.0,200,347
telkom-starclick,/cekfiscal,1.0,200,3
telkom-starclick,/checkorderstatus,1.0,200,1
myindihome_new,/getdata,1.0,200,1041
myindihome_new,/getlistpackage,1.0,200,33
telkom-mycx-tcincident,querytk_incident,1.0,200,653
telkom-ibooster-occupancy,/slotportidentification,1.0,200,411
telkom-myihpartnermbe-agent,/poinsf,1.0,200,289
telkom-myihpartnermbe-agent,/techattendance,1.0,200,64
telkom-myihpartnermbe-agent,/historyredeemtsel,1.0,200,16
telkom-myihpartnermbe-agent,/getlistcar,1.0,200,6
telkom-myihpartnermbe-agent,/licensenumber,1.0,200,4
telkom-esb-quota,/getspecificquota,1.0,200,201
telkom-esb-quota,/submitorder,1.0,200,133
telkom-esb-quota,/getbalance,1.0,200,23
telkom-esb-quota,/getcustomerqualification,1.0,200,17
telkom-esb-quota,/getquotafamilyv2,1.0,200,2
telkom-esb-quota,/addremovegroupmember,1.0,200,1
telkom-esb-quota,/updatequotacap,1.0,200,1
telkom-ipca,/getodpbyclid,1.0,200,322
telkom-ipca,/getpks,1.0,200,5
telkom-oca-message,/sendtemplatemessage,1.0,200,283
telkom-infracare,/apidashboard/{path}/{path2},1.0,200,112
telkom-infracare,/apidashboard/{path}/{path2}/{path3},1.0,200,76
telkom-infracare,/apiaccount/{path}/{path2},1.0,200,27
telkom-infracare,/createticket/{idmenu}/{kode},1.0,201,20
telkom-infracare,/apiaccount/{path}/{path2}/{path3},1.0,200,12
telkom-mycx-ticket,/getticketorderx,1.0,200,156
telkom-webcare-mediacaringfaulthandling,mediacaringfaulthandling,1.0,200,124
telkom-smartivr-getfastel,/getfastel,1.0,200,116
telkom-mycx-check,/checkcustomerconsent,1.0,200,74
telkom-mycx-check,/isolirbukisaps,1.0,200,9
telkom-tibs,/getinfobilling147new,1.0,200,48
telkom-ocs-prepaid,/getaccesstoken,1.0,200,21
telkom-ocs-prepaid,/querycustomer,1.0,200,14
telkom-ocs-prepaid,/queryoffer,1.0,200,9
telkom-ncx-segment,/getpelanggansegment,1.0,200,28
telkom-finnet-payments,/prepaidpayment,1.0,200,23
telkom-finnet-prepaid,/prepaid,1.0,200,22
telkom-dukcapil-checkektpauth,/nikverify,1.0,200,19
telkom-starclick-deposit,/checkstatusdeposit,1.0,200,15
telkom-violet,/apiviolet/{operation},1.0,200,12
telkom-violet,/apiseamless/{path1},1.0,200,1
telkom-myih-reservev2,reservev2,1.0,200,12
telkom-mia,/loadimagefile,1.0,200,9
telkom-mycx-tktassetworkzonedcs,/querytk_assetworkzone,1.0,200,9
