"API Name","Operation Name","API Version","Response Code",Count
"telkom-newoss-worklog","/addworklog","1.1",200,23075
"telkom-newoss-worklog","/getworklog","1.0",200,81
"telkom-tibs","/getinfobilling147new","1.0",200,10114
"telkom-tibs","/queryprepaidbynd","1.0",200,4
"telkom-tibs","/retrytopuphsi","1.0",200,3
"telkom-mycx-ticket","/getticketorderx","1.0",200,4809
"telkom-mycx-ticket","/getsymptomideas","1.0",200,36
"telkom-mycx-ticket","/updateticketideas","1.0",200,3
"telkom-starclick","/apiscone/{path1}/{path2}/{path3}","1.0",200,1993
"telkom-starclick","/apistarclick/{operation}","1.0",200,780
"telkom-starclick","/checkorderstatus","1.0",200,15
"telkom-useetvgo-feasibility","/feasibilityuseetvapps","1.0",200,2352
"telkom-mycx-tcincident","querytk_incident","1.0",200,1869
"myindihome_new","/getdata","1.0",200,1040
"myindihome_new","/getlistpackage","1.0",200,84
"myindihome_new","/userrequestotp","1.0",200,24
"telkom-ibooster-occupancy","/slotportidentification","1.0",200,1127
"telkom-myihpartnermbe-agent","/poinsf","1.0",200,751
"telkom-myihpartnermbe-agent","/techattendance","1.0",200,148
"telkom-myihpartnermbe-agent","/historyredeemtsel","1.0",200,48
"telkom-myihpartnermbe-agent","/getlistcar","1.0",200,10
"telkom-myihpartnermbe-agent","/licensenumber","1.0",200,10
"telkom-infracare","/apidashboard/{path}/{path2}","1.0",200,389
"telkom-infracare","/apidashboard/{path}/{path2}/{path3}","1.0",200,312
"telkom-infracare","/apiaccount/{path}/{path2}","1.0",200,136
"telkom-infracare","/apiaccount/{path}/{path2}/{path3}","1.0",200,64
"telkom-infracare","/createticket/{idmenu}/{kode}","1.0",201,49
"telkom-infracare","/apiticket/{path}/{path2}","1.0",200,1
"telkom-ipca","/getodpbyclid","1.0",200,708
"telkom-ipca","/getpks","1.0",200,35
"telkom-ipca","/getprojectdetail","1.0",200,30
"telkom-oca-message","/sendtemplatemessage","1.0",200,609
"telkom-esb-quota","/getspecificquota","1.0",200,302
"telkom-esb-quota","/getbalance","1.0",200,139
"telkom-esb-quota","/getcustomerqualification","1.0",200,86
"telkom-esb-quota","/getquotafamilyv2","1.0",200,10
"telkom-esb-quota","/submitorder","1.0",200,7
"telkom-esb-quota","/addremovegroupmember","1.0",200,2
"telkom-esb-quota","/updatequotacap","1.0",200,1
"telkom-mycx-check","/checkcustomerconsent","1.0",200,461
"telkom-mycx-check","/isolirbukisaps","1.0",200,81
"telkom-smartivr-getfastel","/getfastel","1.0",200,322
"telkom-webcare-mediacaringfaulthandling",mediacaringfaulthandling,"1.0",200,177
"telkom-ocs-prepaid","/getaccesstoken","1.0",200,77
"telkom-ocs-prepaid","/querycustomer","1.0",200,49
"telkom-ocs-prepaid","/queryoffer","1.0",200,34
"telkom-starclick-deposit","/listdatadeposit","1.0",200,89
"telkom-starclick-deposit","/checkstatusdeposit","1.0",200,35
"telkom-mycx-tktassetworkzonedcs","querytk_assetworkzone","1.0",200,65
"telkom-finnet-payments","/prepaidpayment","1.0",200,64
"telkom-dukcapil-checkektpauth","/nikverify","1.0",200,58
"telkom-finnet-prepaid","/prepaid","1.0",200,58
"telkom-mia","/loadimagefile","1.0",200,57
"telkom-ncx-segment","/getpelanggansegment","1.0",200,30
"telkom-myih-reservev2",reservev2,"1.0",200,23
"telkom-violet","/apiviolet/{operation}","1.0",200,19
"telkom-myihx-assurance","/submitticket","1.0",200,8
"telkom-myihx-assurance","/getticketissue","1.0",200,6
"telkom-myih-login","/getdata","1.0",200,6
"telkom-myih-login","/userrequestotp","1.0",200,1
"telkom-myih-generatepdf","/generatepdf","1.0",200,1
